time;m_acc_x;m_acc_y;m_acc_z;m_accG_x;m_accG_y;m_accG_z;m_rotTate_alpha;m_rotTate_beta;m_rotTate_gamma;p_lat;p_long;p_alt;p_acc;p_head;p_speed;steps;distance
133130.0;3.0;1.5;4.4;6.7;-3.4000000000000004;12.5;74.60000000000001;-50.0;-0.1;55.60865473;13.0066695;42.27197265625;3.790092468261719;82.80000305175781;1.3899999856948853;226.04132231404952;198.48913043478322
134131.0;5.2;3.8;8.6;8.5;-2.6;15.4;-5.2;-19.300000000000004;30.9;55.60865696;13.0066915;42.13763427734375;3.790092468261719;78.5;1.399999976158142;228.05645161290317;199.91666666666646
135130.0;1.7000000000000002;3.1;0.8;5.1000000000000005;-2.0;8.1;-56.50000000000001;20.5;4.7;55.60865833;13.0067164;42.98736572265625;3.790092468261719;87.30000305175781;1.5399999618530271;229.05645161290317;201.34782608695696
136130.0;0.3;4.2;-0.6000000000000001;4.6000000000000005;-0.4;7.2;-84.4;34.300000000000004;-10.5;55.60866335;13.00674016;42.9913330078125;3.790092468261719;73.69999694824219;1.600000023841858;231.04098360655732;202.78749999999928
137130.0;1.8;-1.4;4.5;6.7;-3.9;12.8;-108.5;-13.900000000000002;130.8;55.60866799;13.00675888;42.98211669921875;3.790092468261719;70.4000015258789;1.4199999570846558;233.05691056910564;204.24999999999994
138118.0;-3.6;-8.8;-1.2000000000000002;1.2000000000000002;-7.0;7.0;-48.2;35.8;-65.8;55.60867033;13.00677901;42.7869873046875;3.790092468261719;70.0;1.4199999570846558;234.03968253968253;205.6516853932584
139130.0;-2.9000000000000004;-5.4;-0.6000000000000001;2.4000000000000004;-4.800000000000001;7.6;27.5;-30.3;-53.0;55.60867;13.00679923;42.46514892578125;3.790092468261719;83.19999694824219;1.3799999952316284;236.04201680672267;207.14444444444456
140130.0;-1.3;-2.8000000000000003;-1.5;3.5;-3.4000000000000004;7.6;101.8;-49.1;-15.000000000000002;55.60866987;13.00682293;42.498046875;3.790092468261719;90.0;1.4199999570846558;238.0720000000001;208.54651162790685
141130.0;-1.1;0.2;0.2;3.4000000000000004;-3.0;9.1;109.2;-28.600000000000005;-4.6;55.60867125;13.00684566;42.07843017578125;3.790092468261719;83.80000305175781;1.350000023841858;240.05555555555554;209.9444444444452
142119.0;4.2;5.0;6.4;7.7;-0.7000000000000001;13.8;42.8;-4.1;36.3;55.60867308;13.00687029;41.8621826171875;3.790092468261719;87.30000305175781;1.440000057220459;242.02400000000003;211.478723404255
143130.0;2.8000000000000003;2.3000000000000003;4.4;6.2;-3.4000000000000004;12.3;-65.10000000000001;20.1;4.0;55.60867435;13.00689454;41.8944091796875;3.790092468261719;86.19999694824219;1.4500000476837158;244.0252100840336;212.92771084337392
144130.0;2.5;4.6000000000000005;2.2;6.2;-0.4;10.0;-103.0;27.2;35.0;55.60867487;13.00691859;42.06964111328125;3.790092468261719;91.6999969482422;1.4299999475479126;245.05600000000007;214.4197530864201
145130.0;1.3;2.4000000000000004;1.0;6.1000000000000005;-0.9;9.3;-96.7;63.30000000000001;54.6;55.60868118;13.00694178;42.267822265625;3.790092468261719;71.69999694824219;1.5;247.03968253968253;215.85555555555624
146131.0;-2.0;-6.5;-0.5;3.0;-5.4;7.5;-147.0;62.8;-31.2;55.60868596;13.00696631;42.6617431640625;3.790092468261719;80.30000305175781;1.440000057220459;249.0252100840336;217.26249999999976
147131.0;-3.5;-8.9;-0.8;2.2;-6.1000000000000005;7.2;24.8;-1.0;-108.4;55.60868462;13.00699233;43.06396484375;3.790092468261719;99.8000030517578;1.4900000095367432;250.05555555555554;218.77108433734975
148130.0;-1.1;-3.0;-0.8;4.2;-2.9000000000000004;7.7;104.8;-57.20000000000001;-34.2;55.60868437;13.00701676;43.11529541015625;3.790092468261719;86.0;1.3200000524520874;252.04065040650403;220.1645569620254
149115.0;-1.5;-1.4;0.6000000000000001;2.6;-4.3;9.2;118.7;10.5;-59.80000000000001;55.60868447;13.00703895;43.212890625;3.790092468261719;80.80000305175781;1.2699999809265137;254.02499999999998;221.6153846153852
150131.0;3.8;4.7;4.4;7.300000000000001;-0.5;12.7;65.3;4.1;-17.799999999999997;55.60868815;13.00706102;43.162353515625;3.790092468261719;76.19999694824219;1.350000023841858;256.0645161290322;223.03488372093022
